Time/Day,09:00-09:30,09:30-10:00,10:00-10:30,10:30-11:00,11:00-11:30,11:30-12:00,12:00-12:30,12:30-13:00,13:00-13:30,13:30-14:00,14:00-14:30,14:30-15:00,15:00-15:30,15:30-16:00,16:00-16:30,16:30-17:00
MON,"CS206 (Lecture, C104)",,,,,"MA202 (Lecture, C104)",,,,,,"CS301 (Tutorial, C104)","HS205 (Lecture, C004)","CS204 (Lecture, C104)",,
TUE,,,,,"MA202 (Lecture, C104)",,,"CS206 (Tutorial, C104)",,,,,"CS310 (Lecture, C104)",,,
WED,,,,,"CS310 (Tutorial, C104)",,"CS204 (Lecture, C104)",,,,,,,"CS301 (Lecture, C104)",,
THU,,,,,,"HS205 (Lecture, C004)",,,,,,,"CS206 (Lecture, C104)",,,
FRI,,,,,,,"MA202 (Tutorial, C104)",,,,,"CS204 (Tutorial, C104)",,"CS301 (Lecture, C104)",,

Course Color Mapping
MA202,#390062
CS206,#0cce35
CS204,#8cd0a4
CS301,#7d6277
CS310,#7248ad
HS205,#477183

Break Information
Morning Break,#FFE5E5
Lunch,#E5FFE5
Snacks,#E5E5FF
